City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,amot,59.5714,7.9877,291.91,34,5,1.47,NO,1685956055
84,katsuura,35.1333,140.3,294.72,76,100,3.44,JP,1685956056
85,kokkola,63.8385,23.1307,285.24,48,0,6.17,FI,1685956056
86,kahului,20.8947,-156.47,298.06,72,0,2.24,US,1685956056
87,constitucion,-35.3333,-72.4167,285.18,57,100,2.06,CL,1685955957
88,cabo san lucas,22.8909,-109.9124,295.71,69,4,6.3,MX,1685955952
89,vila velha,-20.3297,-40.2925,290.34,92,0,1.03,BR,1685956057
90,kudahuvadhoo,2.6708,72.8944,301.81,76,100,5.95,MV,1685956057
91,tiksi,71.6872,128.8694,274.47,99,100,1.81,RU,1685956047
92,torbay,47.6666,-52.7314,278.01,98,100,2.68,CA,1685955913
93,eenhana,-17.4667,16.3333,300.28,14,0,0.89,NA,1685956058
94,kruisfontein,-34.0033,24.7314,288.64,53,100,6.01,ZA,1685956058
95,vardo,70.3705,31.1107,280.14,70,75,8.75,NO,1685955800
96,yellowknife,62.456,-114.3525,287.18,85,34,3.28,CA,1685956058
97,souillac,-20.5167,57.5167,298.71,76,44,8.1,MU,1685956058
98,port moresby,-9.4431,147.1797,298.76,89,98,1.65,PG,1685956059
99,rodez,44.5,2.5833,295.32,64,0,2.06,FR,1685956059
100,san cristobal,7.7669,-72.225,292.71,99,100,1.87,VE,1685955896
101,charters towers,-20.1,146.2667,295.74,66,78,6.88,AU,1685956059
102,port alfred,-33.5906,26.891,290.47,49,48,4.47,ZA,1685956060
103,kapaa,22.0752,-159.319,297.33,76,20,4.63,US,1685956060
104,kamaishi,39.2667,141.8833,290.51,70,0,0.74,JP,1685956060
105,hermanus,-34.4187,19.2345,287.48,60,100,3.3,ZA,1685956060
106,la ronge,55.1001,-105.2842,288.26,100,59,2.19,CA,1685956060
107,longyearbyen,78.2186,15.6401,276.06,65,20,2.06,SJ,1685956061
108,coquimbo,-29.9533,-71.3436,284.0,100,100,1.54,CL,1685955924
109,yar-sale,66.8333,70.8333,284.31,86,100,3.13,RU,1685956061
110,san felipe,10.3399,-68.7425,296.16,91,100,2.07,VE,1685956061
111,destin,30.3935,-86.4958,295.92,86,20,2.57,US,1685956062
112,raga,8.4596,25.678,296.69,87,100,1.56,SS,1685956062
113,barranca,-10.75,-77.7667,293.61,82,84,2.23,PE,1685955882
114,port elizabeth,-33.918,25.5701,289.87,49,100,6.26,ZA,1685956062
115,vestmannaeyjar,63.4427,-20.2734,282.7,93,40,6.17,IS,1685956062
116,haines junction,60.7522,-137.5108,285.03,55,100,2.43,CA,1685956063
117,east london,-33.0153,27.9116,290.82,43,0,9.93,ZA,1685956063
118,bambous virieux,-20.3428,57.7575,298.83,78,30,8.27,MU,1685956063
119,sur,22.5667,59.5289,311.6,34,0,2.24,OM,1685956063
120,aklavik,68.2191,-135.0107,278.95,67,66,2.95,CA,1685956063
121,mahebourg,-20.4081,57.7,298.85,77,26,8.46,MU,1685956064
122,staryy nadym,65.6118,72.6842,294.05,60,68,5.94,RU,1685956064
123,sinnamary,5.3833,-52.95,298.76,87,25,3.11,GF,1685956064
124,emmen,52.7792,6.9069,290.36,73,5,6.26,NL,1685956064
125,umea,63.8284,20.2597,288.11,33,53,9.77,SE,1685956065
126,powell river,49.8496,-124.5361,285.94,73,0,6.37,CA,1685956065
127,taywarah,33.35,64.4167,294.48,13,0,3.8,AF,1685956065
128,sao filipe,14.8961,-24.4956,296.98,76,15,0.97,CV,1685956065
129,geraldton,-28.7667,114.6,289.38,77,75,14.4,AU,1685956066
130,karratha,-20.7377,116.8463,296.09,52,25,6.8,AU,1685956066
131,marsa matruh,31.3525,27.2453,297.7,48,34,3.87,EG,1685956066
132,tanout,14.9709,8.8879,308.29,33,25,7.36,NE,1685956066
133,mancheral,18.8667,79.4333,315.64,17,2,4.17,IN,1685956067
134,hamilton,39.1834,-84.5333,290.62,63,0,4.12,US,1685955868
135,chongqing,29.5628,106.5528,294.4,98,99,1.79,CN,1685956067
136,gat,31.61,34.7642,301.7,12,11,5.58,IL,1685956067
137,san carlos de bariloche,-41.1456,-71.3082,280.06,54,100,2.52,AR,1685956011
138,khatanga,71.9667,102.5,277.51,57,97,8.78,RU,1685956068
139,butaritari,3.0707,172.7902,302.2,73,100,6.02,KI,1685956068
140,horadiz,39.4488,47.3353,304.62,39,50,4.13,AZ,1685956068
141,pisco,-13.7,-76.2167,293.18,77,100,0.51,PE,1685956068
142,bredasdorp,-34.5322,20.0403,286.29,61,90,3.54,ZA,1685956068
143,bud,39.447,-86.1758,289.29,48,9,3.23,US,1685956069
144,itoman,26.1247,127.6694,300.36,80,75,5.14,JP,1685956069
145,carnarvon,-24.8667,113.6333,295.01,59,5,9.76,AU,1685956061
146,kupino,54.3663,77.2981,308.23,24,11,3.4,RU,1685956069
147,preston,53.7667,-2.7167,290.83,64,20,4.63,GB,1685956026
148,pangnirtung,66.1451,-65.7125,270.12,96,100,0.35,CA,1685956070
149,indiana,40.0003,-86.2503,287.44,50,0,2.57,US,1685956070
150,korce,40.6186,20.7808,292.7,70,100,1.94,AL,1685956070
151,gorontalo,0.5412,123.0595,301.91,77,81,1.99,ID,1685956070
152,portland,45.5234,-122.6762,288.11,56,0,5.66,US,1685955912
153,pangai,-19.8,-174.35,297.42,66,100,6.09,TO,1685956071
154,tashtyp,52.7939,89.8983,301.29,43,6,1.63,RU,1685956071
155,fergus falls,46.283,-96.0776,296.14,70,0,1.54,US,1685955859
156,garden city,42.3256,-83.331,287.29,62,100,2.06,US,1685956071
157,viedma,-40.8135,-62.9967,278.83,37,100,5.08,AR,1685956071
158,mpigi,0.225,32.3136,297.88,60,85,2.66,UG,1685956072
159,oktyabrskiy,54.4815,53.471,291.67,42,22,4.36,RU,1685956073
160,port-gentil,-0.7193,8.7815,300.13,74,40,6.17,GA,1685956073
161,faanui,-16.4833,-151.75,299.7,72,46,4.7,PF,1685956073
162,virden,39.5009,-89.7679,290.72,60,0,3.14,US,1685956074
163,sri aman,1.2376,111.4621,299.93,84,98,1.22,MY,1685956074
164,bonavista,48.6499,-53.1147,277.64,99,100,2.78,CA,1685956074
165,luena,-11.7833,19.9167,299.44,24,87,2.23,AO,1685956074
166,ufimskiy,56.7084,58.0517,292.43,40,22,4.09,RU,1685956075
167,suntar,62.1444,117.6319,286.17,38,88,3.67,RU,1685956075
168,elena,42.9333,25.8833,296.47,50,19,2.15,BG,1685956075
169,narsaq,60.9167,-46.05,277.27,89,100,1.82,GL,1685956075
170,linkou,45.3,130.2833,293.48,58,91,2.24,CN,1685956075
171,husavik,66.0449,-17.3389,283.53,68,71,3.35,IS,1685956076
172,georgetown,5.4112,100.3354,305.11,70,20,3.09,MY,1685956076
173,vagur,61.4732,-6.8119,282.45,85,100,5.47,FO,1685956076
174,kabala,9.5833,-11.55,296.02,87,100,0.68,SL,1685956076
175,dunedin,-45.8742,170.5036,281.93,74,100,1.34,NZ,1685956069
176,chicama,-7.8447,-79.1469,294.45,86,47,1.02,PE,1685956077
177,esperance,-33.8667,121.9,292.03,57,64,12.15,AU,1685955887
178,tilichiki,60.4667,166.1,278.61,76,100,7.73,RU,1685956077
179,owosso,42.9978,-84.1766,284.88,78,0,0.0,US,1685956055
180,ostrovnoy,68.0531,39.5131,275.69,97,100,11.46,RU,1685956078
181,yeppoon,-23.1333,150.7333,294.03,83,51,6.39,AU,1685956078
182,uetze,52.4651,10.2047,295.62,47,4,1.03,DE,1685956078
183,ibra,22.6906,58.5334,312.57,17,0,4.77,OM,1685956078
184,isla vista,34.4133,-119.861,289.26,95,100,0.0,US,1685956079
185,acapulco,16.8634,-99.8901,300.05,78,40,0.0,MX,1685956079
186,yagodnoye,62.55,149.6667,288.71,34,57,5.65,RU,1685956079
187,ponta do sol,32.6667,-17.1,294.82,68,100,6.34,PT,1685955956
188,tuatapere,-46.1333,167.6833,280.11,92,52,1.33,NZ,1685956079
189,vung tau,10.346,107.0843,302.32,76,100,2.66,VN,1685956080
190,saint stephen,50.3333,-4.9,291.6,59,0,4.12,GB,1685956080
191,hoshangabad,22.75,77.7167,314.01,17,36,5.66,IN,1685956080
192,shakhtinsk,49.71,72.5872,307.31,14,12,3.64,KZ,1685956080
193,serov,59.6033,60.5787,294.0,24,0,4.43,RU,1685956081
194,guerrero negro,27.9769,-114.0611,288.12,89,2,5.8,MX,1685955820
195,kodiak,57.79,-152.4072,279.88,100,100,5.14,US,1685956081
196,atar,20.5169,-13.0499,304.88,21,0,3.28,MR,1685956081
197,nanortalik,60.1432,-45.2371,275.04,95,100,4.19,GL,1685955888
198,provideniya,64.3833,-173.3,278.43,88,99,2.98,RU,1685956082
199,seymchan,62.8833,152.4333,291.06,35,60,4.42,RU,1685956082
200,bourges,47.25,2.4167,295.17,60,1,3.55,FR,1685956082
201,beloha,-25.1667,45.05,303.67,33,2,2.39,MG,1685956083
202,maumere,-8.6199,122.2111,300.29,74,58,0.84,ID,1685956083
203,beruwala,6.4788,79.9828,301.53,75,97,4.32,LK,1685956083
204,rocha,-34.4833,-54.3333,280.15,79,6,1.96,UY,1685955932
205,mount gambier,-37.8333,140.7667,287.43,79,92,4.86,AU,1685956083
206,chernyshevskiy,63.0128,112.4714,285.39,37,100,3.26,RU,1685956084
207,klaksvik,62.2266,-6.589,283.66,69,86,5.15,FO,1685956084
208,kirishi,59.4471,32.0205,288.83,43,100,4.24,RU,1685956084
209,kirensk,57.7853,108.1119,285.44,92,100,2.84,RU,1685956084
210,torrelavega,43.3494,-4.0479,297.07,71,39,0.89,ES,1685956085
211,lompoc,34.6391,-120.4579,288.71,89,100,3.13,US,1685956085
212,chapais,49.7834,-74.8492,284.51,51,100,1.57,CA,1685956085
213,tazovskiy,67.4667,78.7,286.53,62,99,4.04,RU,1685956085
214,avare,-23.0986,-48.9258,285.18,84,15,1.15,BR,1685956044
215,derby,52.9228,-1.4766,288.42,68,75,4.12,GB,1685955843
216,pevek,69.7008,170.3133,276.16,91,100,4.59,RU,1685956086
217,kavaratti,10.5669,72.642,301.69,77,100,6.15,IN,1685956086
218,isiro,2.7739,27.616,302.48,51,86,1.31,CD,1685956087
219,lumut,4.2323,100.6298,302.83,71,82,1.99,MY,1685956087
220,henties bay,-22.116,14.2845,288.84,72,0,2.38,NA,1685956087
221,saint-pierre,-21.3393,55.4781,300.97,61,75,7.2,RE,1685956087
222,ribeira grande,38.5167,-28.7,293.37,83,75,6.69,PT,1685956088
223,texarkana,33.4251,-94.0477,295.27,80,0,1.54,US,1685956088
224,bambanglipuro,-7.95,110.2833,299.84,79,73,5.73,ID,1685956088
225,norman wells,65.282,-126.8329,289.92,55,100,0.96,CA,1685956088
226,mitu,1.1983,-70.1733,295.16,99,100,0.84,CO,1685956089
227,hualmay,-11.0964,-77.6139,293.11,85,52,2.49,PE,1685956089
228,takayama,36.1333,137.25,291.74,71,98,0.86,JP,1685956089
229,bethel,41.3712,-73.414,284.35,88,100,0.0,US,1685956089
230,yamada,39.4667,141.95,290.52,72,3,0.97,JP,1685956090
231,scarborough,54.2797,-0.4044,286.44,75,15,2.24,GB,1685956090
232,choconta,5.1447,-73.6858,282.73,92,89,0.78,CO,1685956090
233,roma,43.2128,-75.4557,282.52,90,0,0.0,US,1685955965
234,ixtapa,20.7,-105.2,295.38,77,38,1.05,MX,1685956091
235,tessalit,20.1986,1.0114,307.91,11,30,4.84,ML,1685956058
236,stykkisholmur,65.0757,-22.7297,280.7,76,99,3.74,IS,1685956091
237,port hardy,50.6996,-127.4199,281.29,88,1,4.17,CA,1685956091
238,dalaba,10.7,-12.25,292.99,88,100,1.26,GN,1685956091
239,namibe,-15.1961,12.1522,296.98,49,0,2.85,AO,1685956092
240,sioux lookout,50.1001,-91.917,292.19,94,75,2.57,CA,1685956092
